response_id,submitted,cohort_key,region,tenure_band,q1_finding_documents,q2_outlook_filing,q3_mobile_access,q4_search_quality,q5_speed_performance,q6_support_responsiveness,q7_training_adequacy,q8_overall_satisfaction,recommend_0_10,understands_insight_ai,what_works_well,what_is_lacking
R0001,2026-07-07,Regulatory & Trade Compliance | Lawyer - Junior,US,5 to 10 years,3,3,2,3,4,2,2,4,6,No / unsure,,"Filing email is more clicks than it should be, so I do not do it."
R0002,2026-07-19,Privacy & Data Protection | Lawyer - Senior,US,Under 2 years,3,2,2,3,2,1,1,3,4,Yes,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0003,2026-07-10,Employment & Labor | Lawyer - Mid,US,Under 2 years,1,1,2,1,2,2,1,2,1,No / unsure,,Onboarding gave me a login and a link to a video. That was it.
R0004,2026-07-22,Privacy & Data Protection | Lawyer - Mid,UK/Ireland,2 to 5 years,3,3,3,4,2,3,3,3,4,Yes,"Works for what I need, which is not much.",Painfully slow from the London office in the afternoon.
R0005,2026-07-12,"Corporate, Securities & Governance | Lawyer - Junior",US,10+ years,2,3,2,1,3,1,1,1,3,Yes,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0006,2026-07-14,Commercial & Transactions | Lawyer - Mid,US,2 to 5 years,4,1,2,2,3,3,2,2,5,Yes,The mobile app is good enough for reading on the train.,"Nobody in Employment uses it consistently, so half the file is in email anyway."
R0007,2026-07-22,Legal Operations | Legal Ops - Staff,US,10+ years,3,2,2,3,3,3,3,3,6,No / unsure,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0008,2026-07-06,Litigation & Disputes | Lawyer - Senior,US,2 to 5 years,4,3,3,3,5,4,3,3,9,Yes,"Works for what I need, which is not much.",The March search problem lasted three days and we had a filing deadline.
R0009,2026-07-13,"Corporate, Securities & Governance | Lawyer - Mid",US,10+ years,4,3,4,2,3,4,2,2,6,No / unsure,Adequate.,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0010,2026-07-22,Commercial & Transactions | Executive Assistant,US,Under 2 years,4,5,4,3,4,3,2,5,6,No / unsure,The mobile app is good enough for reading on the train.,
R0011,2026-07-17,Commercial & Transactions | Lawyer - Mid,US,Under 2 years,2,4,3,3,3,2,2,3,6,Yes,,Support used to respond the same day. Now it is a week.
R0012,2026-07-11,Commercial & Transactions | Lawyer - Junior,US,5 to 10 years,5,3,4,3,3,2,3,4,6,Yes,Fine.,Search is unpredictable. I usually end up asking a paralegal.
R0013,2026-07-10,Commercial & Transactions | Lawyer - Mid,US,Under 2 years,3,4,2,2,2,1,1,2,4,No / unsure,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0014,2026-07-11,Regulatory & Trade Compliance | Paraprofessional,US,Under 2 years,4,3,3,1,3,4,2,4,4,Yes,"Works for what I need, which is not much.",Onboarding gave me a login and a link to a video. That was it.
R0015,2026-07-22,"Real Estate, Environmental & Safety | Lawyer - Senior",US,2 to 5 years,2,2,1,1,1,1,1,1,0,Yes,,I still do not understand what the AI feature is supposed to do.
R0016,2026-07-12,Litigation & Disputes | Paraprofessional,US,Under 2 years,4,4,3,4,4,2,2,4,7,No / unsure,Fine.,Onboarding gave me a login and a link to a video. That was it.
R0017,2026-07-08,Litigation & Disputes | Paraprofessional,US,5 to 10 years,4,3,3,3,4,5,3,5,8,Yes,Version control has saved me more than once.,
R0018,2026-07-10,Litigation & Disputes | Lawyer - Senior,US,2 to 5 years,4,5,5,3,4,3,4,4,8,Yes,Sharing a workspace with outside counsel saves us hours every week.,
